project_id,project_name,description,country_name,state_name,city_name,currency,budget_raw,budget_usd_clean,sector_main,project_type,is_infrastructure_project,is_megaproject,delivery_method,timestamp,timestamp_label,source,url,failed_or_problematic
351,Close Cut Clearing Hwy 11/17,Close Cut Clearing on Hwy 11/17 West bound side is 12.150 km from expressway jct. westerly to Vibert intersection jct. East bound side is 12.120 km from Vibert road Jct. easterly to expressway Jct.,Canada,Ontario,Toronto,CAD,55900.0,44587.2933999999,"Commercial, Road, Government, Manufacturing (Industrial)",Unknown,True,False,Unknown,2021-03-25,publish_date,DODGE,https://www.construction.com/projects/dr-202100519394-close-cut-clearing-hwy-1117,0
352,Bridge Chemin du Golf Reconstruction,"Reconstruction du pont situ sur le chemin du Golf, au-dessus de la rivi re Saint-Germain - Reconstruction of the bridge located on Golf Road, above the Saint-Germain River",Canada,Quebec,Drummondville,CAD,3800000.0,3030978.8,"Bridge, Road, Government, Commercial",Unknown,True,False,Unknown,2021-11-01,publish_date,DODGE,https://www.construction.com/projects/dr-201800728385-bridge-chemin-du-golf-reconstruction,0
353,4 Sewer Lift Stations and WWTP Upgrades,Upgrades to 4 sewer lift stations and WWTP,Canada,Nova Scotia,St Peter'S,CAD,749999.0,576109.481853,"Water Supply And Storage, Waste Processing And Treatment, Commercial",Unknown,True,False,Unknown,2022-09-27,publish_date,DODGE,https://www.construction.com/projects/dr-202200754995-4-sewer-lift-stations-and-wwtp-upgrades,0
354,Equipment and electrical systems Replacement at the Lorne Park Water Treatment Plant,"The equipment to be replaced at the Lorne Park Water Treatment Plant includes two intake gates and two of four aging travelling screens, check valves, actuators and related electrical systems. The Lorne Park facility is relied upon by approximately 500,000 residents in the western portion of Peel Region.",Canada,Ontario,Unknown,CAD,1300000.0,1300000.0,"Water Supply And Storage, Government",Unknown,True,False,Unknown,2017-01-01,estimated_start_date,Infrastructure Canada,https://housing-infrastructure.canada.ca/gmap-gcarte/index-eng.html,0
355,Flood Response - Construction/Removal,This Tender is intended to: 1. Establish a binding contract for unit prices with the low Bidder to undertake flood response activities for a SPRING flood event for the communities identified in this Contract. 2. Establish a non-binding call-out list for unit prices for all qualified bidders to undertake flood response activities for possible future SUMMER and/or FALL flood events in the communities identified in the Contract. The Work in this Non-Bonded Tender No.: RF-97-144 is generally desc...,Canada,Manitoba,Winnipeg,CAD,17940.0,13353.2802,"Manufacturing (Industrial), Cable Car, Government, Commercial, Telecommunications, Automotive",Unknown,True,False,Unknown,2025-02-06,publish_date,DODGE,https://www.construction.com/projects/dr-202400469267-flood-response-constructionremoval,0
356,Traffic Signage Improvement,"The number of traffic signs will be reduced, on a per kilometre basis, and new types of signage with lower initial and maintenance costs will be utilized to reduce expenditures by approximately $200 thousand.",Canada,Alberta,Calgary,CAD,200000.0,200052.2,"Road, Hydro, Government",Unknown,True,False,Unknown,2012-01-01,project_start_date,City of Calgary,https://www.calgary.ca/content/dam/www/cfod/finance/documents/plans-budgets-and-financial-reports/business-plans-and-budgets-2012-2014/approved/business-plans-budgets-2012-2014-approved-complete.pdf,0
357,2022 Multi-Use Trails & Cycle Tracks Construction,"This Project involves the construction of multi-use trails and cycle tracks at various locations in the City of Mississauga. The Work includes, but is not limited to, excavation, granular and asphalt placement and compaction, concrete sidewalk, curb and gutter installation, adjustments of valves, manholes, catchbasins, tree cutting, topsoil and sodding and restoration of disturbed areas.",Canada,Ontario,Mississauga,CAD,4591080.0,3526624.32876,"Commercial, Water Supply And Storage, Cement, Road, Waste Processing And Treatment, Car Parking, Mass Transit, Government, Automotive, Rail",Unknown,True,False,Unknown,2022-09-02,publish_date,DODGE,https://www.construction.com/projects/dr-202200726724-2022-multi-use-trails-cycle-tracks-construction,0
358,Sidewalk Labs Toronto Tomorrow - MASTER PLAN,"new kind of mixed-use, complete community by combining forward thinkingurban design, new digital technology and other innovative solutions to create a neighbourhood that sets new standards for urban living",Canada,Ontario,Toronto,CAD,1300000000.0,1036913799.99999,"Advanced Electronics, Commercial, Car Parking, Residential, Automotive",Unknown,True,True,Unknown,2021-02-17,publish_date,DODGE,https://www.construction.com/projects/dr-201800764314-sidewalk-labs-toronto-tomorrow-master-plan,0
359,Inclusive Park,This project will be to develop a fully-accessible and inclusive community park where all organizations in the disability community will be able to run outdoor programs that they otherwise would not have been able to run.,Canada,Newfoundland and Labrador,Unknown,CAD,1869564.74,1442888.93590772,Government,Unknown,False,False,Unknown,2018-06-01,estimated_start_date,Infrastructure Canada,https://housing-infrastructure.canada.ca/gmap-gcarte/index-eng.html,0
360,St. Agatha Community Centre Park Playground Equipment,"The Township of Wilmot is seeking proposals from qualified, experienced contractors to remove existing playground structures, equipment and pea stone surfacing and design, supply and install new playground structures/equipment with new IPEMA Certified Wood Fibre surfacing at St. Agatha Community Centre Park, St. Agatha. All labour and materials shall be in accordance with CAN/CSA-Z614-14 Standards.",Canada,Ontario,Waterloo,CAD,95772.0,76390.237272,"Car Parking, Government, Automotive, Commercial, Manufacturing (Industrial)",Unknown,True,False,Unknown,2021-04-29,publish_date,DODGE,https://www.construction.com/projects/dr-202100537244-st-agatha-community-centre-park-playground-equipment,0
361,Pressure Reducing Valve Replacements,"Sturgeon County requires bids for PRV Replacements. The main items of Work of this project include the following: .1 Replacement of two existing PRV stations. .2 Maintenance work on 4 additional PRV stations. .3 Site Restoration including asphalt, concrete, and landscaping work.",Canada,Alberta,Morinville,CAD,484449.0,360589.92417,"Cement, Road, Water Supply And Storage, Government, Commercial, Manufacturing (Industrial), Waste Processing And Treatment",Unknown,True,False,Unknown,2024-06-27,publish_date,DODGE,https://www.construction.com/projects/dr-202400099374-pressure-reducing-valve-replacements,0
362,Allendale Home Storm & Sanitary Ejector Pumps Replacement,Allendale Long Term Care Home Storm & Sanitary Ejector Pumps Replacement,Canada,Ontario,Milton,CAD,314657.0,234208.64481,"Water Supply And Storage, Residential, Waste Processing And Treatment, Government, Commercial",Unknown,True,False,Unknown,2024-02-16,publish_date,DODGE,https://www.construction.com/projects/dr-202400030446-allendale-home-storm-sanitary-ejector-pumps-replacement,0
363,Intelligent Transportation System Study,"Undertake an intelligent transportation system study to provide the tools to monitor and proactively facilitate the movement of people, vehicles, and goods throughout the transportation network. This will provide active accurate, up-to-date and timely information to transit to plan and schedule their operations based on travel time and provide the opportunity to install transit priority signals at key locations in the transportation network.",Canada,Ontario,Unknown,CAD,55000.0,55000.0,"Automotive, Government",Unknown,False,False,Unknown,2017-05-01,estimated_start_date,Infrastructure Canada,https://housing-infrastructure.canada.ca/gmap-gcarte/index-eng.html,0
364,Gandatsetiagon PS Library & AC Alterations,Library and AC Alterations at Gandatsetiagon PS,Canada,Ontario,Pickering,CAD,1000000.0,744330.0,"Commercial, Education, Government",Unknown,False,False,Unknown,2024-04-25,publish_date,DODGE,https://www.construction.com/projects/dr-202400115396-gandatsetiagon-ps-library-ac-alterations,0
365,Geothermal System,IPAC DX geothermal system with CO2 (NRCan-5000059502/B),Canada,Quebec,Quebec,CAD,2999999.0,2304440.231853,"Geothermal, Commercial",Unknown,False,False,Unknown,2022-01-27,publish_date,DODGE,https://www.construction.com/projects/dr-202100681228-geothermal-system,0
